epoch,acc,loss,val_acc,val_loss
0,0.5,0.6894649267196655,1.0,0.6317033171653748
1,0.5,0.6232032179832458,1.0,0.633995532989502
2,0.5,0.7376389503479004,1.0,0.6492552757263184
3,1.0,0.049355849623680115,0.5,0.6429955363273621
4,0.5,0.423434317111969,0.5,0.667463481426239
5,1.0,0.08197135478258133,0.5,0.6822788119316101
6,0.5,0.44459542632102966,1.0,0.662692666053772
7,1.0,0.03192959725856781,0.5,0.7044312357902527
8,1.0,0.10981261730194092,0.5,0.7704426050186157
9,1.0,0.014734562486410141,0.5,0.8543256521224976
10,1.0,0.0033889433834701777,0.5,0.9471741318702698
11,1.0,0.009137580171227455,0.5,1.0400859117507935
12,1.0,0.005264366045594215,0.5,1.1156823635101318
13,1.0,0.0022994917817413807,0.5,1.1957252025604248
14,1.0,0.15717586874961853,0.5,1.0145258903503418
15,1.0,0.0001995058119064197,0.5,0.8779349327087402
16,1.0,0.0020537583623081446,0.5,0.7869409918785095
17,1.0,0.30704888701438904,0.5,0.899583637714386
18,1.0,0.007092838641256094,0.5,1.0293605327606201
19,1.0,0.001547393505461514,0.5,1.169775366783142
20,1.0,0.006351635791361332,0.5,1.2999320030212402
21,1.0,0.024870583787560463,0.5,1.388411521911621
22,1.0,0.0003187884285580367,0.5,1.4689240455627441
23,1.0,0.0004358103615231812,0.5,1.5400558710098267
24,1.0,9.238799975719303e-06,0.5,1.6083039045333862
25,1.0,0.134115070104599,0.5,1.3536885976791382
26,1.0,5.334899833542295e-05,0.5,1.134615421295166
27,1.0,3.278256031080673e-07,0.5,0.9591847658157349
28,1.0,0.0007640516269020736,0.5,0.8369086980819702
29,1.0,0.00033385606366209686,0.5,0.7713882923126221
